E,M
290, -80
290, -82
290, -82
290, -82
290, -82
290, -80
290, -82
290, -84
288, -86
288, -86
290, -84
288, -86
288, -86
288, -86
286, -88
286, -90
286, -92
286, -92
286, -94
286, -94
286, -94
284, -96
284, -98
284, -96
284, -96
284, -94
286, -92
286, -92
286, -92
286, -94
282, -96
282, -96
280, -98
280, -100
280, -98
280, -100
278, -102
280, -100
280, -100
280, -100
280, -100
280, -100
280, -98
282, -96
282, -96
282, -96
282, -98
282, -98
282, -98
282, -98
282, -98
282, -98
282, -98
282, -98
282, -98
280, -96
278, -94
278, -94
276, -96
278, -98
280, -96
278, -98
282, -96
282, -98
282, -98
282, -100
282, -100
280, -98
280, -100
280, -100
280, -98
278, -96
278, -96
282, -94
282, -94
282, -92
282, -90
282, -90
282, -92
282, -94
282, -94
282, -92
284, -90
286, -92
286, -92
286, -92
286, -94
286, -92
288, -90
290, -88
290, -88
290, -90
288, -88
290, -90
288, -92
288, -94
288, -94
288, -94
288, -96
288, -98
288, -98
284, -96
284, -96
284, -96
282, -98
282, -98
280, -100
278, -102
278, -104
280, -106
280, -104
278, -106
278, -104
276, -106
276, -104
276, -104
276, -104
274, -106
274, -104
272, -102
270, -104
272, -102
272, -104
272, -106
272, -106
272, -108
272, -108
270, -110
270, -110
270, -108
270, -108
272, -106
274, -104
274, -104
274, -104
274, -104
274, -102
274, -102
274, -100
274, -100
272, -102
272, -100
272, -100
272, -102
272, -102
272, -102
272, -102
272, -104
272, -102
276, -104
274, -106
274, -104
274, -104
274, -104
274, -104
274, -104
274, -106
272, -108
272, -106
272, -106
272, -106
272, -106
274, -104
278, -106
278, -104
276, -106
276, -108
280, -110
282, -112
282, -114
284, -112
284, -112
288, -110
288, -110
288, -110
288, -110
288, -110
288, -108
286, -106
286, -106
286, -108
284, -106
280, -108
280, -110
280, -110
280, -108
280, -108
280, -106
280, -106
280, -106
280, -108
280, -110
280, -110
280, -108
282, -106
282, -104
282, -104
284, -102
284, -102
284, -104
282, -102
282, -102
282, -102
282, -102
284, -100
284, -100
284, -102
284, -102
284, -102
282, -104
282, -106
282, -106
282, -106
282, -104
282, -102
282, -104
282, -106
282, -104
282, -102
282, -102
282, -102
284, -100
284, -100
284, -100
282, -102
282, -102
282, -102
286, -100
286, -100
288, -98
288, -100
288, -98
286, -100
286, -100
286, -100
286, -102
286, -102
286, -102
286, -102
286, -100
286, -100
286, -100
284, -98
282, -100
282, -98
282, -100
284, -98
284, -96
284, -96
284, -96
284, -96
286, -98
286, -100
286, -100
286, -102
286, -102
286, -102
286, -102
286, -102
286, -102
290, -104
290, -104
290, -104
288, -106
288, -104
288, -106
288, -108
286, -106
286, -106
284, -108
284, -106
286, -104
284, -102
284, -102
282, -104
282, -102
282, -102
282, -100
282, -102
280, -104
280, -102
282, -100
284, -98
282, -96
282, -98
282, -96
284, -98
284, -98
284, -98
286, -96
288, -94
288, -94
288, -94
284, -96
284, -94
284, -94
284, -94
284, -92
280, -94
280, -94
280, -94
280, -96
280, -96
282, -94
280, -92
280, -94
284, -92
284, -94
284, -96
284, -96
286, -94
286, -92
286, -94
286, -94
282, -96
282, -96
282, -96
282, -96
282, -94
282, -94
282, -94
280, -96
280, -96
280, -96
280, -96
282, -94
282, -94
282, -94
282, -94
280, -92
280, -92
280, -94
280, -92
284, -90
284, -90
284, -90
284, -90
282, -92
282, -94
282, -96
282, -94
282, -92
280, -90
278, -92
278, -90
278, -90
278, -90
278, -90
276, -92
276, -92
276, -90
274, -92
274, -92
274, -92
278, -90
282, -88
278, -90
278, -88
278, -88
280, -86
278, -84
278, -84
276, -82
278, -80
276, -82
276, -84
