M1, M2
1.00000, 0.36520
1.00000, 0.36380
1.00000, 0.36540
1.00000, 0.36380
1.00000, 0.36320
1.00000, 0.36240
1.00000, 0.36160
1.00000, 0.36020
1.00000, 0.36060
1.00000, 0.36020
1.00000, 0.36120
1.00000, 0.36220
1.00000, 0.36060
1.00000, 0.35980
1.00000, 0.36280
1.00000, 0.36120
1.00000, 0.36500
1.00000, 0.36740
1.00000, 0.36680
1.00000, 0.36560
1.00000, 0.36380
1.00000, 0.36180
1.00000, 0.36140
1.00000, 0.36160
1.00000, 0.36660
1.00000, 0.36720
1.00000, 0.36820
1.00000, 0.37060
1.00000, 0.36840
1.00000, 0.37120
1.00000, 0.37580
1.00000, 0.37480
1.00000, 0.37820
1.00000, 0.37980
1.00000, 0.38000
1.00000, 0.38180
1.00000, 0.38280
1.00000, 0.38480
1.00000, 0.38440
1.00000, 0.38340
1.00000, 0.38460
1.00000, 0.38360
1.00000, 0.38460
1.00000, 0.38420
1.00000, 0.38260
1.00000, 0.38200
1.00000, 0.38400
1.00000, 0.38400
1.00000, 0.38760
1.00000, 0.39000
1.00000, 0.39320
1.00000, 0.39320
1.00000, 0.39360
1.00000, 0.39320
1.00000, 0.39460
1.00000, 0.39340
1.00000, 0.39500
1.00000, 0.39720
1.00000, 0.39720
1.00000, 0.39600
1.00000, 0.39940
1.00000, 0.39860
1.00000, 0.39740
1.00000, 0.39540
1.00000, 0.40060
1.00000, 0.40320
1.00000, 0.40620
1.00000, 0.40760
1.00000, 0.40800
1.00000, 0.40680
1.00000, 0.40440
1.00000, 0.40440
1.00000, 0.40380
1.00000, 0.40620
1.00000, 0.40740
1.00000, 0.40920
1.00000, 0.41000
1.00000, 0.41380
1.00000, 0.41340
1.00000, 0.41140
1.00000, 0.40880
1.00000, 0.41180
1.00000, 0.41500
1.00000, 0.41760
1.00000, 0.42060
1.00000, 0.42060
1.00000, 0.42100
1.00000, 0.42260
1.00000, 0.42200
1.00000, 0.42100
1.00000, 0.42020
1.00000, 0.42440
1.00000, 0.42360
1.00000, 0.42500
1.00000, 0.42600
1.00000, 0.42900
1.00000, 0.42920
1.00000, 0.42880
1.00000, 0.43220
1.00000, 0.43320
1.00000, 0.42960
1.00000, 0.42840
1.00000, 0.42740
1.00000, 0.42580
1.00000, 0.42380
1.00000, 0.42320
1.00000, 0.42380
1.00000, 0.42380
1.00000, 0.42140
1.00000, 0.42400
1.00000, 0.42180
1.00000, 0.42500
1.00000, 0.42640
1.00000, 0.42740
1.00000, 0.43220
1.00000, 0.43260
1.00000, 0.43160
1.00000, 0.42840
1.00000, 0.42400
1.00000, 0.42380
1.00000, 0.42360
1.00000, 0.42480
1.00000, 0.42760
1.00000, 0.42840
1.00000, 0.42900
1.00000, 0.42620
1.00000, 0.42840
1.00000, 0.43000
1.00000, 0.42840
1.00000, 0.42680
1.00000, 0.42660
1.00000, 0.42700
1.00000, 0.42640
1.00000, 0.42720
1.00000, 0.42440
1.00000, 0.42640
1.00000, 0.42820
1.00000, 0.43080
1.00000, 0.43160
1.00000, 0.43280
1.00000, 0.43500
1.00000, 0.43560
1.00000, 0.43480
1.00000, 0.43460
1.00000, 0.43200
1.00000, 0.43060
1.00000, 0.43220
1.00000, 0.43180
1.00000, 0.43300
1.00000, 0.43540
1.00000, 0.43880
1.00000, 0.43920
1.00000, 0.43820
1.00000, 0.44280
1.00000, 0.44360
1.00000, 0.44500
1.00000, 0.44480
1.00000, 0.44800
1.00000, 0.45100
1.00000, 0.45200
1.00000, 0.45480
1.00000, 0.45260
1.00000, 0.45340
1.00000, 0.45540
1.00000, 0.45380
1.00000, 0.45660
1.00000, 0.46040
1.00000, 0.46420
1.00000, 0.46980
1.00000, 0.46900
1.00000, 0.46980
1.00000, 0.46820
1.00000, 0.46760
1.00000, 0.46800
1.00000, 0.47040
1.00000, 0.47120
1.00000, 0.47200
1.00000, 0.47380
1.00000, 0.47320
1.00000, 0.47040
1.00000, 0.46960
1.00000, 0.47100
1.00000, 0.47080
1.00000, 0.47220
1.00000, 0.47140
1.00000, 0.46820
1.00000, 0.46820
1.00000, 0.46720
1.00000, 0.46920
1.00000, 0.46800
1.00000, 0.46840
1.00000, 0.46960
1.00000, 0.46920
1.00000, 0.47120
1.00000, 0.46800
1.00000, 0.46600
1.00000, 0.46800
1.00000, 0.46840
1.00000, 0.46980
1.00000, 0.46840
1.00000, 0.47280
1.00000, 0.47520
1.00000, 0.47600
1.00000, 0.47600
1.00000, 0.47660
1.00000, 0.47980
1.00000, 0.47860
1.00000, 0.47880
1.00000, 0.47800
1.00000, 0.47820
1.00000, 0.48040
1.00000, 0.48040
1.00000, 0.48160
1.00000, 0.48560
1.00000, 0.48700
1.00000, 0.48900
1.00000, 0.48920
1.00000, 0.49160
1.00000, 0.49120
1.00000, 0.49200
1.00000, 0.49540
1.00000, 0.49480
1.00000, 0.49920
1.00000, 0.50240
1.00000, 0.50180
1.00000, 0.50180
1.00000, 0.50340
1.00000, 0.50360
1.00000, 0.50480
1.00000, 0.50620
1.00000, 0.50620
1.00000, 0.50840
1.00000, 0.51100
1.00000, 0.50960
1.00000, 0.50940
1.00000, 0.51060
1.00000, 0.51100
1.00000, 0.51360
1.00000, 0.51640
1.00000, 0.51940
1.00000, 0.52340
1.00000, 0.52300
1.00000, 0.52420
1.00000, 0.52660
1.00000, 0.52760
1.00000, 0.52920
1.00000, 0.53060
1.00000, 0.53320
